,Date,Product_ID,Product_Category,Clicks,Sales,Price,Customer_Age,Customer_Gender,Region,Click_Count,Wait_Time,Browser,Marketing
77,2023-09-15,66,Running,6,0,51.69630300201508,41,Female,South,8,108,Edge,0
78,2023-10-22,19,Running,26,0,141.89838428425594,51,Male,North,10,111,Chrome,1
79,2023-08-21,24,Training,10,1,187.98215337931796,34,Male,South,21,9,Edge,1
80,2023-12-05,88,Basketball,43,0,66.65389223175335,51,Female,South,11,104,Chrome,1
81,2023-09-13,11,Running,44,0,138.60068525137535,52,Female,East,7,104,Edge,0
82,2023-09-08,59,Training,40,0,159.30033226439457,53,Male,North,12,80,Chrome,1
83,2023-10-07,86,Basketball,48,0,60.61605052104582,30,Male,South,8,68,Firefox,0
84,2024-01-16,15,Running,28,0,53.39231872462795,42,Male,East,13,46,Safari,1
85,2023-04-06,10,Running,16,1,119.62937999674209,29,Male,East,49,7,Firefox,1
86,2023-11-19,41,Basketball,21,0,168.67800308515456,38,Female,East,14,35,Firefox,0
87,2023-09-17,27,Training,26,1,74.10791151489926,54,Male,East,48,16,Chrome,1
88,2023-10-22,60,Training,23,0,175.49559083223843,55,Male,North,9,98,Chrome,1
89,2023-08-19,73,Running,13,0,148.48658831353941,18,Male,North,13,62,Edge,0
90,2023-03-25,52,Basketball,16,0,99.82599316827284,23,Female,East,10,114,Chrome,1
91,2023-07-19,28,Training,36,0,127.37386977386743,28,Male,North,6,84,Chrome,0
92,2023-02-27,65,Basketball,35,0,194.83624695901077,33,Female,West,13,102,Chrome,1
93,2023-12-10,17,Basketball,21,0,82.46554559485082,39,Male,West,11,62,Safari,0
94,2023-04-18,95,Running,27,1,124.93030966160603,28,Female,East,42,15,Firefox,1
95,2024-01-23,44,Basketball,14,0,143.6729834161431,54,Male,South,11,49,Safari,0
96,2024-01-05,10,Basketball,34,0,70.70219082134994,43,Female,South,13,52,Firefox,1
97,2023-02-21,63,Basketball,23,0,56.528313293496446,43,Female,West,12,66,Firefox,1
98,2024-01-22,93,Training,30,0,52.01899293972069,59,Male,East,12,127,Chrome,0
99,2023-06-21,82,Running,30,0,98.70392849000243,38,Male,West,13,109,Chrome,1
100,2023-06-28,47,Running,15,1,61.0920941727298,43,Female,West,32,14,Safari,1
101,2023-04-16,38,Basketball,24,0,170.5654928811672,32,Male,South,5,56,Safari,0
102,2023-07-01,70,Basketball,49,1,199.59792907426188,56,Male,West,18,17,Safari,1
103,2023-05-04,76,Training,8,0,59.1955732601696,52,Female,East,13,33,Edge,1
104,2023-07-25,53,Running,16,0,114.90894139001594,28,Male,South,14,87,Chrome,0
105,2023-11-28,78,Training,29,0,53.85981844738622,26,Male,South,5,44,Chrome,0
106,2023-10-31,44,Running,14,0,70.09863361358948,59,Male,West,14,113,Chrome,0
107,2023-10-01,74,Training,26,0,98.43838413660112,40,Male,North,5,87,Firefox,1
108,2023-03-25,54,Basketball,11,1,109.05473195864748,21,Female,West,32,27,Edge,1
109,2023-03-12,20,Training,28,0,190.96744196429603,47,Female,East,8,89,Chrome,0
110,2023-06-27,79,Basketball,6,0,109.37552131353438,45,Female,North,5,98,Chrome,0
111,2023-09-01,31,Running,36,0,124.44164885861032,42,Female,East,8,109,Edge,0
112,2024-01-06,7,Running,25,0,86.83750524107995,39,Male,South,10,63,Edge,0
113,2023-11-07,58,Basketball,11,0,50.01877081348633,42,Female,East,12,107,Chrome,0
114,2023-03-17,10,Running,12,0,184.90016850997029,43,Male,East,13,120,Chrome,0
115,2023-04-01,10,Training,42,1,62.25721355544572,46,Male,East,47,25,Edge,1
116,2023-04-15,39,Basketball,25,0,194.63732615543435,58,Female,West,10,58,Safari,0
117,2023-09-16,28,Running,12,0,69.62661561503904,49,Male,West,6,34,Firefox,1
118,2023-12-02,30,Training,29,0,140.73177211256603,43,Female,East,10,121,Chrome,1
119,2023-05-22,37,Training,32,0,199.91158817849555,45,Male,West,5,31,Safari,0
120,2023-08-03,67,Running,32,0,70.76968941045138,37,Male,South,5,127,Chrome,0
121,2024-02-07,43,Running,35,1,113.59146274097364,19,Female,South,35,20,Edge,1
122,2023-09-14,79,Training,40,1,167.06355034572147,40,Male,North,37,27,Edge,1
123,2023-03-19,85,Basketball,29,0,54.82852247749524,56,Male,West,11,51,Safari,0
124,2023-09-27,52,Running,45,0,153.46741267100668,22,Female,West,5,91,Chrome,1
125,2023-05-24,56,Running,41,0,62.05600068361992,38,Female,East,7,77,Edge,0
126,2023-06-23,76,Basketball,42,0,85.47802134098396,39,Male,North,7,119,Chrome,1
127,2023-10-27,68,Basketball,16,0,74.01142437400406,28,Female,South,11,34,Safari,0
128,2023-02-17,9,Running,41,1,186.10046474704043,47,Male,South,38,17,Edge,0
129,2023-09-18,92,Basketball,41,0,77.06850751725213,45,Female,East,13,130,Chrome,0
130,2023-10-25,23,Training,35,0,56.06511432727358,53,Female,West,13,62,Chrome,1
131,2024-02-06,63,Training,22,0,138.14385176716434,34,Male,East,14,110,Safari,1
132,2023-11-22,61,Training,30,1,101.92713881145531,38,Female,North,42,6,Safari,0
133,2023-09-07,40,Running,10,0,110.85593309620496,54,Male,South,7,37,Firefox,0
134,2023-02-27,44,Basketball,13,0,67.85941172938205,53,Female,North,10,77,Edge,1
135,2024-01-24,86,Training,15,0,162.23517371497917,42,Male,South,13,42,Edge,1
136,2023-03-26,24,Basketball,35,0,140.23304744652768,41,Male,South,14,55,Firefox,1
137,2023-08-10,51,Training,50,1,104.632556712242,47,Female,North,21,26,Edge,0
138,2023-04-16,58,Basketball,6,0,75.73624156447039,59,Female,South,11,64,Safari,0
139,2024-01-30,90,Training,33,0,139.01776087558406,52,Male,South,11,76,Safari,1
140,2023-10-01,94,Training,50,0,166.7895919261066,38,Female,North,9,93,Chrome,0
141,2023-10-11,33,Training,46,0,96.85959258007924,23,Male,South,13,56,Firefox,1
142,2023-04-05,16,Training,9,1,53.87905753078957,38,Male,North,41,7,Safari,1
143,2023-05-19,22,Training,27,1,82.15159771294759,25,Male,East,48,27,Chrome,0
144,2023-09-22,57,Training,40,1,152.35967283392438,22,Female,West,26,29,Edge,1
145,2023-10-01,62,Training,11,0,198.3644566185384,57,Female,West,9,123,Chrome,1
146,2023-10-07,82,Training,17,1,52.00643591131648,27,Male,West,29,18,Edge,0
147,2023-07-05,71,Training,46,1,95.92303431981512,48,Female,South,34,10,Firefox,0
148,2023-08-02,90,Basketball,14,1,59.30313056732583,47,Female,North,24,27,Safari,1
149,2023-03-13,72,Basketball,40,0,97.45239316445483,38,Female,West,5,122,Chrome,0
150,2023-03-20,70,Running,20,0,110.88715146911318,53,Male,South,9,53,Safari,1
151,2023-02-25,30,Training,19,0,188.12931379193824,44,Male,South,11,46,Firefox,0
152,2023-07-22,23,Basketball,47,0,62.08411991074681,55,Female,North,6,73,Safari,1
153,2024-01-05,32,Basketball,23,0,166.57010795986548,52,Male,East,6,95,Chrome,1
154,2023-08-18,86,Basketball,25,0,109.3301594094445,49,Male,North,11,90,Chrome,0
155,2023-10-13,57,Basketball,39,1,171.68942745003915,43,Male,South,29,14,Safari,1
156,2023-05-09,9,Basketball,19,0,127.01032779884319,21,Female,East,6,109,Firefox,0
157,2023-11-23,31,Basketball,18,0,55.89230582651151,44,Male,East,10,32,Firefox,1
158,2023-04-19,71,Running,33,0,191.9308827072258,53,Male,West,9,52,Firefox,0
159,2023-08-01,9,Basketball,9,1,62.41010951517828,54,Female,South,45,26,Safari,1
160,2023-03-29,13,Running,22,0,139.65252538006342,44,Female,North,11,117,Chrome,1
161,2023-04-15,58,Running,5,0,181.65016444002737,23,Male,North,6,85,Chrome,0
162,2023-06-26,3,Training,31,0,61.96546966252908,35,Female,West,6,101,Chrome,0
163,2023-11-23,35,Training,31,0,133.08400826240194,43,Male,South,7,91,Safari,0
164,2023-03-12,97,Training,29,0,173.64348132866783,41,Female,North,13,114,Chrome,0
165,2023-05-31,21,Basketball,45,0,197.94870629686937,24,Male,North,5,110,Chrome,0
166,2023-03-28,64,Training,25,0,158.6491101221032,31,Female,North,12,56,Safari,1
167,2024-01-18,95,Basketball,18,0,91.75015631949404,30,Male,East,6,72,Safari,0
168,2023-11-25,52,Basketball,24,1,154.93554947681142,43,Male,East,22,28,Firefox,1
169,2024-01-09,34,Training,32,0,155.8650153961459,19,Male,West,9,118,Chrome,1
170,2023-06-20,96,Training,25,1,154.99490181569263,40,Male,West,18,26,Edge,1
171,2024-01-26,35,Running,27,0,178.13906556396586,45,Female,North,14,68,Firefox,1
172,2023-10-01,15,Running,15,0,63.10700937792364,18,Male,South,13,124,Safari,0
173,2023-08-21,96,Basketball,6,0,66.262976812315,49,Male,South,9,71,Safari,1
174,2023-09-25,6,Basketball,24,1,146.0925686338337,29,Female,West,35,23,Firefox,1
175,2023-11-22,85,Training,28,0,193.08216441472817,52,Female,South,13,71,Edge,1
176,2023-06-13,97,Training,29,0,119.87579583788688,43,Male,South,12,129,Chrome,0
177,2023-06-08,32,Running,41,0,194.08440524385128,48,Female,North,7,78,Edge,0
178,2023-10-03,52,Training,26,1,190.7127889274231,29,Male,North,17,25,Edge,1
179,2023-10-29,83,Basketball,28,0,185.43646073514793,46,Female,South,9,44,Firefox,0
180,2024-02-06,97,Training,19,0,186.4776462296128,22,Female,North,6,116,Chrome,1
181,2023-08-29,28,Running,16,0,184.7478189991979,52,Male,South,13,127,Firefox,1
182,2023-06-29,95,Basketball,50,0,172.98340753087734,24,Male,South,9,72,Edge,1
183,2023-12-27,85,Running,35,0,154.24684379079955,33,Male,East,11,64,Firefox,1
184,2023-07-27,98,Running,47,0,53.661226788891234,49,Male,South,5,113,Edge,1
185,2023-09-25,64,Basketball,35,0,69.83803882340787,34,Male,East,5,71,Firefox,1
186,2023-12-16,79,Running,34,0,70.13480817972007,38,Female,West,12,122,Chrome,1
187,2023-10-04,78,Training,45,1,53.531042641938484,44,Female,South,26,15,Edge,1
188,2023-08-03,19,Training,24,0,67.5052652635455,57,Female,West,12,102,Chrome,0
189,2023-07-14,15,Running,12,0,187.96196503506593,32,Female,North,11,61,Firefox,0
190,2023-12-24,6,Training,48,1,149.5706430366179,40,Male,East,22,29,Firefox,1
191,2023-07-22,73,Running,34,1,96.81095274431337,25,Female,West,31,5,Firefox,0
192,2023-05-19,84,Training,39,0,169.00400183550198,42,Female,North,12,106,Chrome,0
193,2023-10-03,98,Running,25,0,123.25542304322764,28,Female,South,14,127,Firefox,0
194,2023-08-11,38,Training,44,0,71.31905553738149,38,Female,East,11,54,Edge,1
195,2023-06-05,26,Basketball,32,0,182.6753121839739,27,Male,South,7,104,Chrome,0
196,2023-12-27,82,Basketball,43,0,100.79929193547088,26,Male,West,11,53,Edge,1
197,2023-04-05,92,Training,21,0,154.8288845794841,18,Female,South,9,97,Chrome,0
198,2023-11-07,51,Running,16,0,93.58912407494111,39,Female,North,14,64,Edge,0
199,2023-12-04,73,Training,22,1,125.01068760107,23,Female,West,22,26,Safari,1
200,2023-06-05,96,Running,32,1,172.43790672956231,47,Female,East,26,29,Edge,1
201,2023-05-24,53,Training,7,1,73.51660196365515,51,Male,North,45,14,Firefox,1
202,2023-06-05,56,Training,19,0,196.58770928589175,30,Female,North,5,69,Chrome,0
203,2023-05-04,59,Basketball,20,1,60.532388429108934,39,Male,East,34,19,Firefox,1
204,2023-08-18,70,Running,26,0,130.10133646107562,23,Female,North,6,36,Safari,0
205,2023-06-05,78,Running,35,0,187.4038279027922,58,Male,West,6,81,Safari,1
206,2023-02-14,92,Running,35,1,191.8540827323788,41,Female,South,41,18,Safari,1
207,2023-06-22,58,Running,5,0,84.8163444319664,38,Male,East,6,72,Firefox,1
208,2023-09-20,88,Running,15,0,71.5977471822213,56,Male,East,13,113,Edge,0
209,2023-04-07,13,Basketball,10,1,158.66045004768364,40,Male,West,21,11,Safari,1
210,2024-01-21,43,Training,27,0,56.29603524143557,22,Female,West,9,53,Firefox,1
211,2023-09-24,76,Running,13,0,122.78584535454713,24,Female,East,14,71,Safari,1
212,2023-09-25,51,Running,20,1,169.45328401897729,20,Male,East,50,14,Chrome,1
213,2023-06-18,19,Training,42,0,134.03820867752506,30,Male,East,13,116,Firefox,1
214,2023-06-22,21,Basketball,48,1,78.20198986610075,29,Female,East,20,18,Safari,1
215,2023-04-06,91,Basketball,23,0,123.05664492049448,23,Female,West,14,55,Safari,0
216,2023-08-03,83,Basketball,49,1,188.19120746733392,51,Male,South,48,27,Safari,1
217,2023-09-18,24,Training,17,1,142.58194670664153,32,Female,East,26,14,Edge,1
218,2023-07-22,26,Training,36,0,158.22359413535298,35,Male,North,10,65,Edge,0
219,2023-08-29,45,Basketball,40,1,100.43958194937724,20,Female,North,32,30,Firefox,1
220,2023-10-17,28,Basketball,13,1,78.27256627514265,39,Female,North,20,26,Edge,0
221,2024-01-02,82,Training,50,0,88.34633448494054,52,Male,West,14,35,Firefox,0
222,2023-09-03,29,Basketball,50,1,129.97663906404424,45,Female,East,45,5,Edge,1
223,2023-08-15,17,Running,41,1,92.03302304160556,58,Female,West,39,7,Safari,1
224,2023-06-15,68,Training,35,0,131.29471811391517,59,Female,North,7,124,Chrome,0
225,2023-10-25,44,Basketball,35,0,156.16878910642652,29,Male,South,8,66,Safari,1
226,2023-12-03,61,Running,23,0,160.15938142554523,18,Male,North,14,49,Edge,0
227,2023-11-19,93,Training,6,0,74.70274094916401,53,Female,East,5,87,Chrome,1
228,2024-01-03,68,Training,49,0,162.56462732507947,47,Male,South,5,105,Chrome,1
229,2023-05-21,74,Running,36,0,150.90322093885385,40,Female,South,10,88,Safari,0
230,2023-08-29,25,Training,47,1,51.800770005306,54,Male,South,23,30,Firefox,1
231,2023-10-10,95,Basketball,38,1,58.830826263462626,45,Male,North,45,8,Firefox,1
232,2023-07-06,67,Training,5,1,146.93742527905704,22,Female,West,42,8,Safari,1
233,2023-05-20,2,Basketball,25,1,107.55558493455645,53,Female,North,19,27,Safari,0
234,2023-09-01,89,Running,7,0,71.91559993634988,27,Female,East,12,85,Safari,0
235,2023-06-16,49,Running,31,0,56.65948387544499,22,Male,South,10,50,Safari,0
236,2023-08-18,70,Training,48,0,73.90975110086463,31,Female,West,6,116,Chrome,1
237,2024-01-04,26,Running,11,0,193.6270946482425,41,Female,West,11,129,Chrome,1
238,2024-01-27,72,Running,37,0,159.13484623564545,45,Female,East,6,98,Chrome,0
239,2023-10-29,99,Training,13,0,129.15581314014406,38,Male,East,5,75,Edge,0
240,2023-07-10,27,Basketball,34,0,191.23107500818875,57,Male,East,9,96,Chrome,0
241,2023-10-22,89,Training,22,0,142.86656565224058,29,Male,South,14,61,Safari,0
242,2024-01-24,18,Training,30,1,158.84677824210007,37,Female,South,33,23,Firefox,1
243,2023-07-09,54,Basketball,24,0,92.39777277588081,49,Female,East,9,33,Edge,1
244,2023-07-10,1,Basketball,42,0,138.3472765383794,55,Male,South,5,55,Firefox,0
245,2024-01-30,61,Basketball,45,0,71.52158664467603,57,Female,North,6,60,Edge,0
246,2023-08-30,3,Training,35,0,110.67247177966631,59,Male,West,8,103,Chrome,0
247,2023-12-17,68,Basketball,12,1,54.98604874799152,38,Male,South,24,14,Edge,1
248,2023-06-20,41,Running,27,0,82.49421313740207,34,Male,West,6,90,Chrome,1
249,2023-03-23,37,Basketball,29,0,61.230294413401204,18,Male,North,7,46,Safari,0
250,2024-01-16,51,Running,5,0,108.1668229260847,45,Male,South,10,82,Safari,1
251,2024-02-07,15,Basketball,50,0,176.45527469577354,19,Female,East,10,75,Firefox,0
252,2023-06-21,8,Running,22,0,106.69011595175796,34,Female,East,14,37,Safari,0
253,2023-11-06,38,Running,23,0,174.7459438991965,56,Male,North,5,104,Chrome,0
254,2023-07-13,83,Running,46,1,148.4747468868331,31,Female,North,39,11,Firefox,0
255,2023-12-07,56,Running,10,0,126.42941699462416,31,Male,South,12,59,Chrome,1
256,2023-05-22,47,Running,21,0,85.53375398919958,35,Female,North,10,112,Edge,0
257,2023-11-02,90,Basketball,50,1,188.32341392662286,57,Male,West,24,6,Firefox,1
258,2023-10-22,10,Training,49,0,58.13012132630499,51,Female,East,6,86,Chrome,0
259,2023-07-06,78,Training,12,0,153.3369526548223,18,Male,South,13,37,Edge,1
260,2024-01-24,49,Training,46,0,143.18598392140532,59,Male,North,12,109,Safari,0
261,2023-06-04,41,Training,13,0,116.15622833847902,35,Male,West,7,55,Safari,1
262,2023-04-13,83,Training,41,1,86.0481432938908,51,Male,East,49,30,Firefox,1
263,2023-02-14,30,Running,31,1,114.60439052679003,40,Male,East,17,22,Chrome,1
264,2023-12-13,5,Basketball,40,0,180.9159088330131,33,Female,South,5,80,Firefox,0
265,2023-10-24,95,Running,10,1,175.51491653824314,36,Male,South,19,9,Firefox,1
266,2023-07-02,71,Basketball,10,0,191.20718749655438,54,Female,South,7,100,Chrome,1
267,2023-03-21,83,Basketball,49,0,96.1689809937872,23,Male,South,14,72,Safari,1
268,2023-07-22,31,Basketball,8,1,108.06562375533093,41,Male,North,44,22,Firefox,1
269,2023-02-21,52,Basketball,26,0,52.808922898979496,34,Female,South,9,50,Firefox,1
270,2023-10-03,88,Training,44,1,191.44249920800124,33,Male,North,48,8,Edge,0
271,2023-05-22,98,Basketball,31,0,99.40851377259034,56,Male,West,13,33,Edge,0
272,2023-07-09,23,Basketball,41,0,110.624573229949,58,Male,West,9,82,Chrome,0
273,2023-12-13,48,Training,6,1,186.17069171710918,23,Male,East,31,23,Edge,0
274,2023-09-08,40,Running,13,1,128.989764525022,33,Male,West,50,24,Edge,1
275,2023-06-23,6,Running,15,1,134.9261812633217,26,Male,West,35,11,Edge,1
276,2023-07-14,38,Running,24,0,76.43492572263753,46,Female,South,8,78,Edge,1
277,2023-04-07,41,Running,47,0,124.79900312279817,21,Male,South,14,105,Chrome,1
278,2023-06-12,27,Basketball,43,1,187.73129013631612,43,Female,South,23,18,Safari,0
279,2023-07-23,75,Training,18,1,133.80771321618892,55,Male,West,17,12,Chrome,0
280,2023-06-08,69,Training,30,0,88.2674546959637,43,Male,South,7,57,Firefox,0
281,2023-04-28,57,Running,42,1,54.67712962021443,31,Female,South,27,23,Safari,1
282,2023-06-05,17,Training,34,1,100.4452660181102,52,Female,South,48,26,Firefox,0
283,2023-05-27,71,Basketball,40,0,135.8886371096687,41,Male,South,10,79,Firefox,0
284,2024-01-18,91,Running,42,0,56.39199325562452,25,Female,North,9,74,Edge,1
285,2023-10-24,47,Basketball,39,0,141.46888659367343,57,Male,South,11,43,Safari,0
286,2023-09-27,79,Basketball,10,0,128.51207406771692,42,Male,West,14,113,Firefox,1
287,2023-06-04,13,Basketball,7,0,167.51532037498563,21,Male,South,5,58,Safari,0
288,2023-05-22,11,Basketball,5,1,54.33322584079428,32,Female,South,30,10,Edge,1
289,2023-07-15,90,Basketball,22,0,167.1271017228106,33,Female,North,11,103,Chrome,0
290,2024-01-27,86,Running,27,0,128.131556863716,28,Female,South,9,82,Edge,0
291,2024-01-16,92,Basketball,36,0,105.57939991695672,45,Female,South,10,56,Safari,0
292,2023-08-25,24,Running,33,0,194.80744645382362,24,Male,East,13,126,Firefox,0
293,2023-12-19,93,Training,27,1,74.01793208540795,55,Female,South,30,13,Firefox,0
294,2023-07-25,73,Basketball,40,0,131.19876786366598,41,Female,West,7,69,Safari,0
295,2023-09-08,4,Basketball,10,0,98.14722103887176,48,Female,East,13,129,Chrome,1
296,2023-07-31,46,Training,21,0,129.12295681930038,21,Male,East,7,110,Chrome,1
297,2023-07-23,18,Running,22,1,132.84131788706182,54,Male,West,43,8,Edge,1
298,2023-04-21,43,Basketball,35,1,63.41723726372687,52,Male,West,33,15,Edge,1
299,2023-11-28,80,Training,10,1,149.17027203775245,23,Female,South,44,23,Safari,1
300,2023-11-16,33,Training,38,0,145.17222438785177,50,Male,South,13,55,Chrome,0
301,2023-12-13,93,Basketball,48,1,165.4200911951696,49,Male,South,35,30,Chrome,1
302,2023-06-27,10,Running,48,0,63.598774048875654,55,Male,East,12,37,Edge,1
303,2023-08-26,73,Running,31,0,94.58878203555318,52,Female,West,6,99,Chrome,1
304,2023-06-20,59,Basketball,40,0,147.5165899592152,34,Female,North,12,89,Safari,1
305,2023-03-17,31,Training,46,0,70.50962388734126,49,Male,North,9,79,Edge,0
306,2023-08-07,28,Basketball,29,0,151.63973161826635,31,Male,South,7,125,Chrome,0
307,2023-03-06,60,Running,14,0,58.85400662306345,36,Male,West,10,99,Chrome,1
308,2023-10-08,3,Training,43,0,100.23973294394416,41,Male,South,10,121,Safari,0
309,2023-07-20,55,Basketball,50,1,177.00666834987788,56,Male,East,23,17,Chrome,1
310,2023-03-22,14,Training,43,0,166.14369355717403,28,Female,East,11,67,Safari,0
311,2023-09-30,58,Running,16,1,146.71410728406318,24,Male,North,33,7,Edge,1
312,2024-02-12,89,Running,15,0,180.56876249376518,41,Male,West,5,103,Safari,1
